spp,individuo,fruto,tiempo,sv,masa_mg,X,foto,l_cipsela,a_cipsela,l_papus,Latitud,Longitud,altitud,Ecoregion,habito,cod_gps,muestreo,Tribu,tipo_papus
Porophyllum_obscurum,1,1,4575720,,0.4,NA,21,5.982,0.363,9.675,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Porophyllum_obscurum,1,2,3911040,,0.6,NA,21,6.257,0.477,8.848,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Porophyllum_obscurum,1,3,3886548,,0.6,NA,21,5.987,0.296,9.694,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Porophyllum_obscurum,2,1,5283540,,0.5,NA,22,5.913,0.476,8.798,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Porophyllum_obscurum,2,2,5036048,,0.6,NA,22,5.992,0.378,8.286,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Porophyllum_obscurum,2,3,5374792,,0.5,NA,22,5.706,0.474,9.124,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Porophyllum_obscurum,3,1,5597772,,0.6,NA,23,5.578,0.41,8.387,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Porophyllum_obscurum,3,2,5246048,,0.5,NA,23,5.075,0.448,8.742,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Porophyllum_obscurum,3,3,5532744,,0.6,NA,23,5.267,0.422,8.015,-24.888016,-65.701031,1633.446,Southern_Andean_Yungas,hierba,Campo Quijano,norte_2022,Tageteae,setose
Nardophyllum_armatum,1,1,2672800,,2.5,NA,8,4.68,1.437,10.81,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Nardophyllum_armatum,1,2,1899388,,6.5,NA,8,5.069,2.005,11.037,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Nardophyllum_armatum,1,3,2674712,,2.3,NA,8,4.437,1.254,10.842,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Nardophyllum_armatum,2,1,1702332,,7.1,NA,9,5.876,1.911,10.364,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Nardophyllum_armatum,2,2,1615628,,7.9,NA,9,6.423,1.878,9.944,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Nardophyllum_armatum,2,3,1576844,,8.4,NA,9,6.762,1.99,10.357,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Nardophyllum_armatum,3,1,1653256,,7.2,NA,10,5.818,2.014,9.854,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Nardophyllum_armatum,3,2,1642996,,7.4,NA,10,6.276,1.973,10.26,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Nardophyllum_armatum,3,3,1523264,,7.5,NA,10,6.402,1.93,10.641,-24.303755,-66.140665,3988.775,Central_Andean_puna,arbusto,Abra Blanca,norte_2022,Astereae,setose
Senecio_socompae,1,1,3856964,,1.7,NA,11,4.396,0.826,9.554,-24.365466,-66.091174,3722.081,Central_Andean_puna,arbusto,Las Cuevas,norte_2022,Senecioneae,setose
Senecio_socompae,1,2,3886688,,1.6,NA,13,4.298,0.749,9.134,-24.365466,-66.091174,3722.081,Central_Andean_puna,arbusto,Las Cuevas,norte_2022,Senecioneae,setose
Senecio_socompae,1,3,3579484,,1.7,NA,14,4.163,0.814,8.345,-24.365466,-66.091174,3722.081,Central_Andean_puna,arbusto,Las Cuevas,norte_2022,Senecioneae,setose
Senecio_socompae,2,1,2807144,,1.3,NA,15,3.827,0.705,6.434,-24.365466,-66.091174,3722.081,Central_Andean_puna,arbusto,Las Cuevas,norte_2022,Senecioneae,setose
Senecio_socompae,2,2,2316192,,1.3,NA,16,3.924,0.751,6.01,-24.365466,-66.091174,3722.081,Central_Andean_puna,arbusto,Las Cuevas,norte_2022,Senecioneae,setose
